clustered_id;clustered;is_product;comments;typo_correction;is_activity
ba13d582a4aa37fae6a671da8adfd635c573c378;contracted metal grinding;0;;;FALSE
1953df1f15f7259af0971dc542a84e21f8ae2fb6;supply of spare parts;0;;;FALSE
d246cf730809a1d44f177029c7b7a219e53a1e0e;equine care;0;;;FALSE
254873bb0f7ac41ab246e9ac42bc99d2d5ad5451;contract logistics;0;;;FALSE
269d9515e4848168d39eee44fb9cb629a077e487;mail order business handling;0;;;FALSE
0ccddc05eb5faa593cf6ac9c52c42d3d124b7bfb;container liners;0;;;FALSE
2308dfa381fba4a57a133c0ad5c2b024da1b5312;passenger air transport by helicopter;0;;;FALSE
05d9837d87fe810eb8cb09b56fb1fca8f4431670;edge-protection sections;0;;;FALSE
5003a5b017cd7f7dc8f30dadc0888a0e7b0aee78;louvre flaps for ventilation technology;0;;;FALSE
a4b1ee8def54a89450c0171c0ebc05bd37f6f2fd;flaps;0;;;FALSE
19af3c4903063d4b9e634dfed54576080eb0bc1f;façade coverings;0;;;FALSE
daeb6b32829e83b3e7e4e0486658de59d307bb2d;technical consultancy;0;;;FALSE
861bcea0f8cf91ffdf3ec46173b8f114a8976331;supplementary activities;0;;;FALSE
b45838e78833c885849437269234c0c41a444201;thermography;0;;;FALSE
c594e2b0246532292acfaa4e10bade8cec76aefc;stainless steel for medical technology;0;;;FALSE
2ef16d7f4f771654beb7754f66a21a589950773e;athlete's diets;0;;;FALSE
3505e5c4522543bf34c1101990e1f241bf9d3e14;garlic preparations;0;;;FALSE
80754af91bfb6d1073585b046fe0a474ce868509;build;0;;;FALSE
f5e0cd0601e0399b764782bcae3bb8e03c079208;motor construction;0;;;FALSE
8c6046af7a6102b4bfb2ea760ef7c46fc82b0427;consulting for transport of electricity;0;;;FALSE
52a16a12d7fb8ea1edadc5ab97c5819c08b291b8;energy efficiency;0;;;FALSE
e7e1b89d1ec2704d349bfd5de58cfb11a63fd6b5;power transmission engineering;0;;;FALSE
8dc44002012ff87d655c2ba967fd7dd108243cb2;diesel engine maintenance;0;;;FALSE
